MEDUSA_HEADS,Base Flash Attention,Naive Attention Masking,Binary Block Masking
4.000000,0.240757,0.243928,0.230606
5.000000,1.343215,2.082632,0.957785
6.000000,15.483392,29.479593,4.186072
7.000000,53.182465,114.408447,11.527168
8.000000,792.982544,1804.146729,90.375168
