N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention,Block Masked
256.000000,0.494226,0.552837,1.580752,0.584742,0.575109
512.000000,1.261723,1.653897,5.658181,1.795267,1.435935
1024.000000,3.633213,5.590403,21.477047,6.101650,4.378778
2048.000000,11.790856,20.126255,,22.377216,12.300754
4096.000000,41.911919,77.118462,,88.065025,41.401970
8192.000000,159.155197,301.574158,,351.408142,150.586365
16384.000000,650.258423,1262.833618,,1521.715210,567.929871
