N_CTX,Base Flash Attention,Naive Attention Masking,Binary Block Masking
256.0,0.664306,0.7091970000000001,0.575258
512.0,2.05481,2.242858,1.147903
1024.0,7.507085,8.186696,2.472957
2048.0,28.739508999999998,32.03666,5.550759
4096.0,108.278717,131.317062,12.588493
8192.0,441.91552,523.393219,32.990262
16384.0,1838.082092,2232.690704,101.49345
