N_CTX,Base Flash Attention,Naive Attention Masking,Binary Block Masking
256.000000,0.563191,0.594469,0.470547
512.000000,1.691443,1.842497,0.939873
1024.000000,6.119273,6.632377,2.035465
2048.000000,23.214081,25.688406,4.573997
4096.000000,86.657021,105.154556,10.157515
8192.000000,353.054718,417.776642,26.349228
16384.000000,1456.642090,1754.205200,81.922050
