N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.099167,0.155253,0.149976,0.156290,0.156305,0.155425
512.000000,0.335896,0.519323,0.451605,0.446296,0.481197,0.439180
1024.000000,1.220803,1.722956,1.597035,1.454538,1.629106,1.433830
2048.000000,4.352973,7.789180,7.478199,5.099179,7.674441,5.150968
4096.000000,15.413062,29.166250,29.149866,19.998739,32.070995,19.211470
8192.000000,58.841087,150.977539,151.110657,72.081406,127.217667,71.957504
16384.000000,232.555527,544.830444,543.715332,284.050446,546.134033,284.180481
