N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.599119,0.661420,0.658281,0.647237,0.668221,0.654436
512.000000,1.683512,1.891457,1.732095,1.759518,1.849599,1.752914
1024.000000,4.900730,7.684480,5.961019,5.249092,6.008320,5.255850
2048.000000,15.810765,23.147520,21.324287,16.866919,21.550079,17.069851
4096.000000,55.878654,80.177155,77.986816,58.691586,78.654465,58.802177
8192.000000,210.210815,291.485687,291.356628,220.380157,294.601715,220.973053
16384.000000,831.010803,1156.053955,1160.788940,852.532227,1178.862549,855.449585
