N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.515063,0.531939,0.544331,0.567126,0.578573,0.571700
512.000000,1.523181,1.566197,1.573669,1.571512,1.615408,1.552273
1024.000000,4.671968,4.852341,4.864731,4.720128,5.021120,4.633701
2048.000000,15.661883,16.407961,16.930817,15.871386,17.134796,15.356257
4096.000000,56.743935,60.246017,62.399487,57.986050,63.275009,56.180962
8192.000000,214.782944,229.763077,235.609085,218.242874,242.494461,211.435516
16384.000000,839.620605,888.666138,893.433838,835.536926,962.711548,800.983032
