N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.078490,0.118526,0.132780,0.126036,0.134126,0.131703
512.000000,0.215618,0.335983,0.380205,0.334202,0.371936,0.345925
1024.000000,0.786566,1.141717,1.319380,1.095718,1.306739,1.165876
2048.000000,3.108663,4.500748,5.450280,4.305562,5.491508,4.168375
4096.000000,11.964270,17.719521,21.918703,16.299213,21.115904,16.344027
8192.000000,48.778240,77.642754,92.001282,58.652672,94.253059,59.720703
16384.000000,208.441345,309.500916,368.543732,278.813690,371.235840,284.612762
