N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention,Blck Masked,Blck Masked RCM
256.000000,0.100542,0.138765,1.014444,0.159134,0.192683,0.116374
512.000000,0.371388,0.570665,5.313633,0.708562,0.550256,0.224817
1024.000000,1.195644,2.047436,22.604544,2.514990,1.890002,0.498955
2048.000000,4.329580,7.740230,,10.161024,6.709254,1.126933
4096.000000,15.610710,29.792257,,48.488960,27.479313,3.197253
8192.000000,59.180031,119.479294,,194.688004,95.181824,8.346850
16384.000000,234.626053,473.044983,,834.137085,385.970184,49.689602
