N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention,Blck Masked,Blck Masked RCM
256.000000,0.606276,0.730264,2.054227,0.790345,0.754632,0.547650
512.000000,1.876994,2.359871,8.500813,2.545713,2.007944,1.117339
1024.000000,4.984422,7.550123,37.768703,8.263979,6.482666,2.412807
2048.000000,15.951668,28.189386,,31.296511,19.546625,5.516834
4096.000000,56.470528,102.503426,,127.398911,64.961533,13.767095
8192.000000,215.728134,402.599945,,508.188660,257.455109,35.526096
16384.000000,834.076660,1593.546753,,2000.836548,866.778137,163.524612
