N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath
256.000000,0.099875,0.140437,1.020567
512.000000,0.335811,0.538411,5.139846
1024.000000,1.194666,2.005794,20.316364
2048.000000,4.115157,7.514490,
4096.000000,15.346687,29.423681,
8192.000000,58.757118,117.654526,
16384.000000,232.166397,472.339447,
