N_CTX,Base Flash Attention,Naive Attention Masking,Binary Block Masking
256.000000,0.557215,0.606715,0.465635
512.000000,1.685932,1.827271,0.943806
1024.000000,5.710439,6.222034,1.998756
2048.000000,20.575409,23.242447,4.316958
4096.000000,84.537346,96.809982,10.361977
8192.000000,331.786255,388.505615,26.272425
16384.000000,1383.333862,1658.714111,84.012032
