N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention,Blck Masked,Blck Masked RCM
256.000000,0.611929,0.729133,2.071874,0.823476,0.662388,0.754462
512.000000,1.978737,2.352322,8.327168,2.681263,1.884425,2.064883
1024.000000,4.967151,7.717615,37.249535,8.518028,6.035913,6.271927
2048.000000,15.998535,28.239532,,31.709526,22.240255,22.851297
4096.000000,56.448002,103.111679,,130.238464,86.023170,81.090561
8192.000000,211.881989,405.288971,,512.072693,295.950348,310.682617
16384.000000,832.804871,1587.009521,,2028.846069,1156.603882,1252.684814
