N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention,Blck Masked,Blck Masked RCM
256.000000,0.099233,0.140151,1.019804,0.158294,0.156792,0.195268
512.000000,0.345682,0.578290,5.332212,0.704148,0.483227,0.594460
1024.000000,1.171820,2.031683,23.270401,2.542745,1.655172,2.109908
2048.000000,4.354156,7.709784,,10.222203,7.509504,10.133977
4096.000000,15.732053,29.778624,,50.399231,32.612694,35.555840
8192.000000,59.556866,119.518211,,200.180740,132.405243,134.018051
16384.000000,235.857925,477.557770,,873.851929,551.997437,545.622009
