N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.478844,0.486383,0.486895,0.481438,0.490947,0.479794
512.000000,1.208960,1.259413,1.258643,1.218712,1.258637,1.216843
1024.000000,3.558028,3.903876,3.901914,3.614169,3.892754,3.618176
2048.000000,11.645368,13.416155,13.502861,11.843291,13.454308,11.866259
4096.000000,41.609726,48.885757,48.915970,42.259968,48.903679,42.347519
8192.000000,156.874756,184.018051,183.800827,158.987259,184.648697,159.617020
16384.000000,618.515320,721.095703,721.340393,625.480713,725.969910,680.967163
