N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.078018,0.102183,0.110160,0.124269,0.109138,0.114775
512.000000,0.213440,0.231701,0.258839,0.266919,0.262745,0.272027
1024.000000,0.779236,0.433156,0.492104,0.499891,0.475591,0.491671
2048.000000,3.063365,0.894075,1.030980,1.078465,1.051745,1.068209
4096.000000,11.258623,2.190554,2.644040,2.643066,2.738838,2.558160
8192.000000,49.387520,6.059386,7.323544,7.771971,7.737894,6.400057
16384.000000,189.457413,17.514906,21.695456,22.430168,23.297792,16.688614
