N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.496100,0.456571,0.442612,0.485996,0.446737,0.477049
512.000000,1.231735,0.914611,0.924240,0.966032,0.948664,0.945145
1024.000000,3.611399,1.924495,1.973806,2.090098,2.022525,2.006834
2048.000000,12.606615,4.127469,4.264360,4.713796,4.324079,4.079649
4096.000000,42.503166,9.640472,9.891983,11.142500,10.964396,9.510204
8192.000000,175.494141,26.277878,25.935190,30.888618,28.964182,21.895424
16384.000000,712.396912,77.191170,75.249664,107.871231,92.519424,57.011200
