N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.478391,0.453870,0.453654,0.455590,0.454806,0.455092
512.000000,1.202986,0.911639,0.910036,0.913642,0.913926,0.921364
1024.000000,3.535560,1.861244,1.862832,1.875925,1.884681,1.859138
2048.000000,11.544960,4.058240,4.070504,4.131623,4.260535,4.109630
4096.000000,41.200127,9.501703,9.503278,9.419209,10.111629,9.413728
8192.000000,156.088318,24.373568,24.495752,23.361025,26.786036,23.374599
16384.000000,614.807556,70.812675,70.953987,65.381378,80.540512,65.342461
