N_CTX,OpenAI FlashAttn,Base Binary Mask,Transition Check Binary Mask,On-Band Binary Mask,BitShift Binary Mask,Combined Binary Mask
256.000000,0.076512,0.091974,0.091843,0.096765,0.093143,0.096607
512.000000,0.207007,0.182515,0.181785,0.188905,0.185935,0.189183
1024.000000,0.745909,0.364200,0.361522,0.378583,0.372459,0.376184
2048.000000,2.813784,0.883958,0.888720,0.928554,0.944110,0.930571
4096.000000,10.608535,2.150640,2.146786,2.301914,2.381874,2.300154
8192.000000,41.486336,5.847450,5.843902,6.277705,6.592399,6.274414
16384.000000,165.741562,16.705126,16.656467,17.735462,20.009983,17.695744
