N_CTX,Base Flash Attention,Naive Attention Masking,Binary Block Masking,Binary Block Masking with RCM
256.000000,0.101354,0.115311,0.128888,0.093503
512.000000,0.353715,0.401741,0.381480,0.168819
1024.000000,1.407528,1.541666,1.166713,0.344518
2048.000000,5.480652,6.378084,4.091602,0.780838
4096.000000,21.681959,26.027391,15.521462,2.064794
8192.000000,87.661377,104.215553,54.444031,6.106648
16384.000000,377.447418,464.108429,210.441223,34.137089
