N_CTX,Binary Block Mask,Binary mask and offsets
256.000000,0.043966,0.101680
512.000000,0.048055,0.107085
1024.000000,0.049503,0.099824
2048.000000,0.072854,0.127663
4096.000000,0.175147,0.231684
8192.000000,0.671213,0.726967
16384.000000,2.661074,2.703131
