N_CTX,Base Flash Attention,Naive Attention Masking,Binary Block Masking
256.000000,0.497562,0.643993,0.479643
512.000000,1.267659,1.990737,1.055884
1024.000000,3.651312,6.718858,2.128595
2048.000000,12.012105,23.963648,4.555787
4096.000000,42.959854,90.032127,10.907519
8192.000000,167.245529,378.574860,26.262817
16384.000000,701.340698,1620.518921,76.223488
