N_CTX,Base Flash Attention,Naive Attention Masking,Binary Block Masking
256.000000,0.082495,0.104821,0.115304
512.000000,0.231234,0.285030,0.259405
1024.000000,0.800541,0.948188,0.511794
2048.000000,3.044768,3.502276,1.126289
4096.000000,11.358624,13.808331,2.912207
8192.000000,46.677967,55.262207,7.542062
16384.000000,208.561371,240.107513,21.113089
