N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention,Blck Masked,Blck Masked RCM
256.000000,0.098542,0.137016,1.018053,0.151788,0.190162,0.194018
512.000000,0.336898,0.569249,5.125998,0.652220,0.709423,0.717071
1024.000000,1.165987,2.018897,21.889791,2.414319,2.850890,2.849610
2048.000000,4.255533,7.650135,,10.521696,11.405572,11.453554
4096.000000,15.636075,29.801428,,51.571712,51.232769,49.891327
8192.000000,59.192322,119.364609,,207.376389,259.701752,259.894287
16384.000000,236.008453,478.507019,,898.893799,1002.831848,1000.231934
