N_CTX,OpenAI Incorrect,OpenAI Corrected,TorchMath,Masked Attention
256.000000,0.614556,0.728290,2.076965,0.793919
512.000000,1.690791,2.260469,11.503873,2.599472
1024.000000,4.899718,7.497355,33.929214,8.372338
2048.000000,16.096699,26.925398,,31.163797
4096.000000,55.876610,102.117378,,127.980545
8192.000000,211.685379,403.976196,,506.628082
16384.000000,830.126099,1583.830933,,2012.711914
